epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.64201,4.53704,5.1918,4.32772,0.00096,0.03395,0.00053,0.00021,4.03891,4.27981,4.15753,0.00020006,0.00020006,0.00020006
2,14.3983,4.15274,4.46142,4.19741,0.00189,0.02469,0.00108,0.0003,4.03945,4.34866,4.15899,0.000393897,0.000393897,0.000393897
3,21.2436,3.77693,3.9733,3.91984,0.0004,0.00309,0.00022,2e-05,4.08202,4.44774,4.18682,0.000566513,0.000566513,0.000566513
4,28.0111,3.45149,3.44227,3.46591,0.0004,0.00309,0.00022,2e-05,4.15953,4.45089,4.25212,0.000717908,0.000717908,0.000717908
5,34.7636,3.35447,3.29305,3.22583,0.00047,0.00309,0.00024,2e-05,4.22388,4.69037,4.33393,0.000848083,0.000848083,0.000848083
6,41.5083,3.28864,3.06946,2.94785,0,0,0,0,4.1952,4.63182,4.33936,0.000957037,0.000957037,0.000957037
7,48.2319,3.20314,3.02862,2.8175,0,0,0,0,4.1746,4.72056,4.33996,0.00100459,0.00100459,0.00100459
8,55.0223,3.11811,2.81652,2.69974,0.00048,0.00309,0.00037,4e-05,4.09412,4.52491,4.24349,0.000933851,0.000933851,0.000933851
9,61.7678,3.11425,2.67857,2.60558,0,0,0,0,3.96677,4.30723,4.1567,0.000863116,0.000863116,0.000863116
10,68.5058,3.06123,2.65521,2.5221,0.00408,0.04012,0.00575,0.00163,3.51509,3.89594,3.76329,0.00079238,0.00079238,0.00079238
11,76.0785,2.9806,2.95805,2.43237,0.00795,0.26466,0.04159,0.01075,2.99196,3.33538,2.93149,0.000721645,0.000721645,0.000721645
12,82.8132,2.8463,2.85105,2.34971,0.73998,0.05556,0.04728,0.01665,2.96619,2.69592,2.54234,0.000650909,0.000650909,0.000650909
13,89.513,2.83552,2.59826,2.34659,0.76117,0.08642,0.07051,0.0275,2.71102,2.14192,2.28217,0.000580174,0.000580174,0.000580174
14,96.2496,2.76154,2.5291,2.2941,0.77988,0.11111,0.09992,0.03625,2.63404,2.27055,2.29898,0.000509438,0.000509438,0.000509438
15,102.975,2.65137,2.40319,2.21843,0.81975,0.1142,0.14852,0.05089,2.55999,2.2119,2.26015,0.000438703,0.000438703,0.000438703
16,109.707,2.66278,2.34929,2.21549,0.82335,0.10494,0.14493,0.05357,2.52916,2.13894,2.22432,0.000367967,0.000367967,0.000367967
17,116.458,2.61691,2.28072,2.14976,0.77129,0.14506,0.18758,0.06213,2.47971,2.02403,2.13681,0.000297232,0.000297232,0.000297232
18,123.209,2.52337,2.19353,2.11089,0.77371,0.17486,0.23466,0.07616,2.42799,1.91721,2.09804,0.000226497,0.000226497,0.000226497
19,129.931,2.51417,2.18034,2.12007,0.75294,0.21748,0.20346,0.06595,2.43428,1.85351,2.04414,0.000155761,0.000155761,0.000155761
20,136.606,2.51433,2.15348,2.08876,0.7551,0.24147,0.19891,0.06756,2.41876,1.87026,2.03705,8.50255e-05,8.50255e-05,8.50255e-05
